Code,Name,
ADD002,ADDJECT,
ADD003,ADDIS HOUSEWARES LTD,
ADD004,ADD MIKKELSEN (DAY),
ADE001,ADELE MARIE (JY),
ADF001,ANDARL FARM (AB SUPPLIER),
ADG,ATD GIFTS,
ADH001,ADHOC DESIGN,
ADH002,ADHOC,
ADI073,ADINI,
ADMIS,AVOCA ADMISSIONS,
ADO001,ADOBE,
ADS00,AINSI DE SUITE,
ADS001,,
ADV001,LATELIER DU VIN,
ADV002,ADVANCED MARKETING LTD,
ADX001,ADDEX DESIGN - SOFRIE S.A.,
AED001,AMBERMED,
AER001,AEROLATTE,
AER002,AEROSTONE,
AFA001,AFA DECOR BV,
AFF001,AFFARI,
AFH001,AVOCA FOODHALL,
AFI001,A FISH NAMED FRED (do not use),
AFI002,A FISH NAMED FRED - Do Not Use,
AFK001,AVOCA FINDERS KEEPERS,
AFO001,ARC FOODS (NATURES GOLD),
AFR001,AFROPOL FINE FOODS,
AFS001,AGRICOLA FABBRICHE S.A.S.,
AGC001,AGC SALES,
AGE001,AGENCY LAPIN,
AGS001,AG SILVER (JY),
AHM001,ALPACA ACCESSORY,
AHS001,ARTEL HERBIES,
AID001,AIDAN BREEN (JY),
AID002,AIDAN GRAY HOME INC,
AIG001,AT IT AGAIN,
AIG002,AIGHT - PARYGONE SAS,
AIG003,ALLIED IRISH GROWERS,
AIG011,AIGLE INTENATIONAL S.A.,
AIK001,AIKEN CARDS,
AIM001,AIMBRY INTERNATIONAL LTD,
AIN001,AINE CHOCOLATE LTD,
AIS001,AIS BOOKS,
AJ001,ALPHABET JIGSAWS,
AJS001,AJS (GARDEN),
AK001,AK REAL FOODS,
AKD001,ANKE DRECHSEL,
AKI001,AKIRA SARL (CRAFTHOLIC),
ALA001,ALAN CLAYTON,
ALA002,ALAN ARDIFF,
ALA003,ALAN CONROY KILMAC RASP FARM,
ALB001,ALBERTO GMBH & CO.KG,
ALB002,ALBERT HELMES,
ALB003,ALBRECHT CREATIVE CONCEPTS,
ALB004,ALBERTA HERLICZKA,
ALB005,ALBERT,
ALB006,ALBETTA CREATION LTD,
ALC001,ALCHEMILLIA (SOAP),
ALD001,AL DI LA LTD (ITALIAN FRUIT),
ALD002,ALDERWOOD,
ALE001,ALEXIA CRAFORD INC.,
ALE002,ALEXANDER THURLOW,
ALF001,AIRLIFT BOOK CO.,
ALI001,ALISON BRITTON,
ALI002,ALIMROSE DESIGNS,
ALI003,ALIFE DESIGNS,
ALI004,ALIBEY (JY),
ALI005,ALICE HANNAH,
ALI006,ALICE CAROLINE LTD,
ALK001,ALPACK LIMITED,
ALL001,ALLSOP EUROPE LTD,
ALL002,ALLIED IMPORTS,
ALL003,ALLEGRO LTD,
ALL078,ALL THAT GLISTERS,
ALM001,LARTET LA MATIERE,
ALM002,ALMA (JY),
ALM003,ALMA MEGUSTAYMEGUSTA,
ALN001,ALLEN TIES,
ALP001,ANASCAUL BLACK PUDDING,
ALP002,ALPA,
ALP003,THE ALPACA COLLECTION,
ALS001,ALSA,
ALT001,ALTIPLANS / QUINOLA,
AMA001,AMADEUS (CADES),
AMA002,AMARAVATHI TEXTILES,
AMA003,AMARI DESIGNS LTD,
AMB001,AMBER (JY),
AMB002,AMBIENTE SUD,
AMB003,AMBER DUDES (do not use),
AMB004,AMBIENTE,
AMB005,AMBER DUDES(BEDROOM ATHLETICS),
AMB006,AMBRI BOARDS,
AMB007,AMBERMED (NATURES GOLD),
AMD001,AM DESIGN,
AME001,AMERICATESSEN LTD,
AME002,AMERICA RETOLD,
AME003,AMERICAN MODERN (GR),
AME004,AMELIE FASHION JEWELLERY,
AMF001,AMELIAS FRIENDS,
AMI001,AMIE ORGANICS,
AMI002,AMICA,
AML001,A MOLINS (JEWELLERY),
AMN001,AMNESTY INTERNATIONAL,
AMO001,AMANO,
AMU054,AMUNDSEN,
ANA001,ANAGRAMMA S.R.L,
ANA002,ANNA WRIGHT,
ANC001,ANCHOR,
AND001,ST ANDREWS OF COURSE LTD,
AND002,ANDREA HOUSE,
AND003,ANDREW RUDD FOOD GROUP,
AND004,AND MARY (�STG),
AND005,ANDURA ACCESORIES,
AND006,AND MARY (�EURO),
ANE001,AVOCA NEST,
ANE002,ANERKJENDT,
ANF001,ANGELS FACE (do not use),
ANF002,ANGELS FACE,
ANG001,ANGIE GOODERHAM,
ANG002,ANGELE RIGUIDEL,
ANI022,ANIMAL CRAFT,
